GEO_ID,NAME,POPGROUP,POPGROUP_TTL,HCT006001,HCT006001ERR,HCT006002,HCT006003,HCT006004,HCT006005,HCT006006,HCT006007,HCT006008
8600000US90029,ZCTA5 90029,1,Total population,13883,null,4205,3553,2232,1845,1095,515,438
8600000US90031,ZCTA5 90031,1,Total population,11156,null,1842,2407,1894,1970,1404,784,855
8600000US90032,ZCTA5 90032,1,Total population,12765,null,1947,2820,2268,2234,1581,887,1028
8600000US90033,ZCTA5 90033,1,Total population,12924,null,2310,2400,2005,2196,1717,1056,1240
8600000US90034,ZCTA5 90034,1,Total population,25592,null,9371,8355,3708,2357,1035,429,337
8600000US90035,ZCTA5 90035,1,Total population,12814,null,4807,4269,1702,1155,519,215,147
8600000US90036,ZCTA5 90036,1,Total population,18646,null,8399,6159,2088,1200,403,195,202
8600000US90037,ZCTA5 90037,1,Total population,15869,null,2755,2652,2508,2559,2136,1284,1975
8600000US90038,ZCTA5 90038,1,Total population,11928,null,4363,3278,1634,1335,756,353,209
8600000US90039,ZCTA5 90039,1,Total population,11436,null,3635,3605,1729,1310,620,268,269
8600000US90040,ZCTA5 90040,1,Total population,3317,null,563,515,565,583,464,283,344
8600000US90041,ZCTA5 90041,1,Total population,9513,null,2437,2806,1658,1364,674,325,249
8600000US90042,ZCTA5 90042,1,Total population,19892,null,4312,4993,3517,3021,1922,985,1142
8600000US90043,ZCTA5 90043,1,Total population,16075,null,4664,4210,2669,2068,1159,646,659
8600000US90044,ZCTA5 90044,1,Total population,25144,null,5031,4693,4127,3938,3080,1859,2416
8600000US90045,ZCTA5 90045,1,Total population,15224,null,4510,5121,2536,2050,672,226,109
8600000US90046,ZCTA5 90046,1,Total population,28534,null,14976,9648,2413,1088,284,81,44
8600000US90047,ZCTA5 90047,1,Total population,16168,null,3887,4139,2870,2284,1403,717,868
8600000US90048,ZCTA5 90048,1,Total population,11821,null,5981,3809,1200,578,191,42,20
8600000US90049,ZCTA5 90049,1,Total population,16657,null,6215,6050,2071,1597,534,155,35
8600000US90056,ZCTA5 90056,1,Total population,3371,null,1025,1176,561,386,155,48,20
8600000US90057,ZCTA5 90057,1,Total population,15658,null,4723,3650,2405,2148,1394,705,633
8600000US90058,ZCTA5 90058,1,Total population,892,null,170,159,148,152,104,73,86
8600000US90059,ZCTA5 90059,1,Total population,9596,null,1283,1584,1557,1521,1250,857,1544
8600000US90061,ZCTA5 90061,1,Total population,6892,null,1159,1246,1110,1047,887,569,874
8600000US90062,ZCTA5 90062,1,Total population,9155,null,1909,1806,1432,1385,1008,649,966
8600000US90063,ZCTA5 90063,1,Total population,13260,null,1659,2050,2059,2250,1987,1319,1936
8600000US90064,ZCTA5 90064,1,Total population,10968,null,3520,3687,1731,1370,486,111,63
8600000US90065,ZCTA5 90065,1,Total population,14476,null,2926,3817,2584,2224,1374,735,816
8600000US90066,ZCTA5 90066,1,Total population,23985,null,8107,8012,3646,2568,972,393,287
8600000US90067,ZCTA5 90067,1,Total population,1510,null,780,602,82,39,4,3,0
8600000US90068,ZCTA5 90068,1,Total population,12326,null,5935,4215,1246,677,180,47,26
8600000US90069,ZCTA5 90069,1,Total population,13364,null,7832,4415,756,279,65,15,2
8600000US90073,ZCTA5 90073,1,Total population,4,null,3,1,0,0,0,0,0
8600000US90077,ZCTA5 90077,1,Total population,3615,null,721,1443,576,574,217,57,27
8600000US90089,ZCTA5 90089,1,Total population,31,null,2,29,0,0,0,0,0
8600000US90094,ZCTA5 90094,1,Total population,2949,null,1242,1127,395,152,28,4,1
8600000US90201,ZCTA5 90201,1,Total population,24104,null,2107,3447,4031,5001,4118,2491,2909
8600000US90210,ZCTA5 90210,1,Total population,8669,null,2386,2955,1272,1152,645,189,70
8600000US90211,ZCTA5 90211,1,Total population,3706,null,1408,1037,510,452,218,58,23
8600000US90212,ZCTA5 90212,1,Total population,5567,null,2332,1667,729,575,204,44,16
8600000US90220,ZCTA5 90220,1,Total population,12741,null,1919,2520,2080,1935,1663,1006,1618
8600000US90221,ZCTA5 90221,1,Total population,11630,null,1100,1701,1782,1884,1705,1196,2262
8600000US90222,ZCTA5 90222,1,Total population,7520,null,1060,1187,1136,1171,1057,668,1241
8600000US90230,ZCTA5 90230,1,Total population,12883,null,4020,4006,2047,1614,647,311,238
8600000US90232,ZCTA5 90232,1,Total population,6605,null,2345,2035,1029,739,285,89,83
8600000US90240,ZCTA5 90240,1,Total population,7632,null,1158,1790,1413,1438,959,447,427
8600000US90241,ZCTA5 90241,1,Total population,13617,null,2593,3369,2668,2401,1376,697,513
8600000US90242,ZCTA5 90242,1,Total population,12687,null,1970,2904,2245,2372,1572,803,821
8600000US90245,ZCTA5 90245,1,Total population,7085,null,2254,2252,1155,958,337,94,35
8600000US90247,ZCTA5 90247,1,Total population,15830,null,3881,4094,2784,2191,1391,724,765
8600000US90248,ZCTA5 90248,1,Total population,3427,null,759,1002,621,499,279,133,134
8600000US90249,ZCTA5 90249,1,Total population,8880,null,1880,2360,1694,1412,796,397,341
8600000US90250,ZCTA5 90250,1,Total population,31087,null,7513,7533,5563,4695,2978,1466,1339
8600000US90254,ZCTA5 90254,1,Total population,9550,null,3644,3450,1263,888,244,46,15
8600000US90255,ZCTA5 90255,1,Total population,18419,null,1975,2893,3131,3652,2887,1614,2267
8600000US90260,ZCTA5 90260,1,Total population,10429,null,1866,2397,1869,1757,1186,670,684
8600000US90262,ZCTA5 90262,1,Total population,14669,null,1063,1844,2199,2815,2543,1642,2563
8600000US90263,ZCTA5 90263,1,Total population,0,null,0,0,0,0,0,0,0
8600000US90265,ZCTA5 90265,1,Total population,7174,null,1945,2653,1181,892,332,117,54
8600000US90266,ZCTA5 90266,1,Total population,14038,null,3627,4663,2228,2427,858,189,46
8600000US90270,ZCTA5 90270,1,Total population,6554,null,599,912,1094,1421,1099,658,771
8600000US90272,ZCTA5 90272,1,Total population,9212,null,2305,3248,1465,1465,553,138,38
8600000US90274,ZCTA5 90274,1,Total population,9479,null,1706,3637,1632,1586,660,186,72
8600000US90275,ZCTA5 90275,1,Total population,15618,null,2941,5747,2732,2807,1000,276,115
8600000US90277,ZCTA5 90277,1,Total population,16910,null,6419,6008,2291,1553,453,138,48
8600000US90278,ZCTA5 90278,1,Total population,16009,null,4095,5252,3025,2494,759,258,126
8600000US90280,ZCTA5 90280,1,Total population,23278,null,2292,3698,3931,4767,3780,2128,2682
8600000US90290,ZCTA5 90290,1,Total population,2612,null,700,894,449,384,135,34,16
8600000US90291,ZCTA5 90291,1,Total population,14261,null,6438,4653,1660,981,292,125,112
8600000US90292,ZCTA5 90292,1,Total population,12654,null,6155,4851,1083,432,104,21,8
8600000US90293,ZCTA5 90293,1,Total population,6575,null,2930,2438,756,331,86,23,11
8600000US90301,ZCTA5 90301,1,Total population,11895,null,3151,2603,1991,1773,1148,607,622
8600000US90302,ZCTA5 90302,1,Total population,10684,null,3070,2748,1887,1392,849,377,361
8600000US90303,ZCTA5 90303,1,Total population,7290,null,1211,1510,1238,1204,918,543,666
8600000US90304,ZCTA5 90304,1,Total population,6634,null,741,951,980,1247,1071,694,950
8600000US90305,ZCTA5 90305,1,Total population,5933,null,1844,1800,1040,672,327,149,101
8600000US90401,ZCTA5 90401,1,Total population,4188,null,2686,1130,241,105,16,7,3
8600000US90402,ZCTA5 90402,1,Total population,5301,null,1761,1725,744,700,272,70,29
8600000US90403,ZCTA5 90403,1,Total population,13970,null,7293,4313,1387,756,165,43,13
8600000US90404,ZCTA5 90404,1,Total population,10089,null,4397,3138,1342,757,276,110,69
8600000US90405,ZCTA5 90405,1,Total population,14376,null,6879,4527,1554,1017,280,81,38
8600000US90501,ZCTA5 90501,1,Total population,14610,null,3374,3819,2590,2353,1285,605,584
8600000US90502,ZCTA5 90502,1,Total population,5717,null,1290,1541,1066,866,463,253,238
8600000US90503,ZCTA5 90503,1,Total population,17183,null,4508,5044,3281,2963,949,305,133
8600000US90504,ZCTA5 90504,1,Total population,11580,null,2573,3345,2227,2049,865,314,207
8600000US90505,ZCTA5 90505,1,Total population,14244,null,3615,4395,2625,2473,771,263,102
8600000US90601,ZCTA5 90601,1,Total population,11027,null,2511,3030,1960,1744,962,443,377
8600000US90602,ZCTA5 90602,1,Total population,7980,null,1721,1952,1433,1286,799,395,394
8600000US90603,ZCTA5 90603,1,Total population,6788,null,1317,1973,1136,1284,672,240,166
8600000US90604,ZCTA5 90604,1,Total population,11932,null,1957,2903,2153,2232,1373,693,621
8600000US90605,ZCTA5 90605,1,Total population,10527,null,1295,2189,1666,2055,1403,827,1092
8600000US90606,ZCTA5 90606,1,Total population,8633,null,1220,1699,1447,1639,1107,659,862
8600000US90620,ZCTA5 90620,1,Total population,13268,null,1784,3318,2486,2660,1550,745,725
8600000US90621,ZCTA5 90621,1,Total population,10304,null,1585,2466,1907,1940,1137,599,670
8600000US90623,ZCTA5 90623,1,Total population,5072,null,713,1454,1006,1077,521,199,102
8600000US90630,ZCTA5 90630,1,Total population,15785,null,2437,4459,3160,3395,1432,540,362
8600000US90631,ZCTA5 90631,1,Total population,21452,null,3994,5891,3719,3541,2179,1012,1116
8600000US90638,ZCTA5 90638,1,Total population,14821,null,2549,4074,2682,2726,1482,735,573
8600000US90640,ZCTA5 90640,1,Total population,19027,null,3350,4528,3524,3294,2147,1154,1030
8600000US90650,ZCTA5 90650,1,Total population,27130,null,3417,5446,4462,4904,3713,2231,2957
8600000US90660,ZCTA5 90660,1,Total population,16564,null,2277,3215,2754,3032,2272,1336,1678
8600000US90670,ZCTA5 90670,1,Total population,4393,null,844,939,735,779,531,295,270
8600000US90680,ZCTA5 90680,1,Total population,8510,null,1603,1962,1371,1289,933,557,795
8600000US90701,ZCTA5 90701,1,Total population,4553,null,663,977,876,878,537,291,331
8600000US90703,ZCTA5 90703,1,Total population,15604,null,1806,4498,3264,3430,1480,671,455
8600000US90704,ZCTA5 90704,1,Total population,1629,null,511,527,216,183,110,42,40
8600000US90706,ZCTA5 90706,1,Total population,23650,null,4617,5459,4230,4141,2670,1328,1205
8600000US90710,ZCTA5 90710,1,Total population,8717,null,1904,2435,1647,1283,773,344,331
8600000US90712,ZCTA5 90712,1,Total population,10794,null,2078,3116,2059,1882,987,409,263
8600000US90713,ZCTA5 90713,1,Total population,9447,null,1562,2855,1814,1810,870,343,193
8600000US90715,ZCTA5 90715,1,Total population,6105,null,920,1522,1144,1126,677,353,363
8600000US90716,ZCTA5 90716,1,Total population,3515,null,507,606,534,552,481,334,501
8600000US90717,ZCTA5 90717,1,Total population,8520,null,2600,2571,1400,1125,496,204,124
8600000US90720,ZCTA5 90720,1,Total population,7789,null,1461,2473,1594,1461,585,154,61
8600000US90723,ZCTA5 90723,1,Total population,13882,null,1905,2323,2284,2580,2087,1224,1479
8600000US90731,ZCTA5 90731,1,Total population,22044,null,6575,6201,3523,2940,1531,711,563
8600000US90732,ZCTA5 90732,1,Total population,8611,null,2551,3011,1315,1052,435,167,80
8600000US90740,ZCTA5 90740,1,Total population,12830,null,6264,4217,1110,858,276,79,26
8600000US90742,ZCTA5 90742,1,Total population,445,null,203,160,42,24,11,4,1
8600000US90743,ZCTA5 90743,1,Total population,187,null,45,67,36,28,9,2,0
8600000US90744,ZCTA5 90744,1,Total population,13999,null,1909,2441,2241,2617,2139,1264,1388
8600000US90745,ZCTA5 90745,1,Total population,15210,null,2058,3012,2744,2678,1940,1292,1486
8600000US90746,ZCTA5 90746,1,Total population,8050,null,1451,2187,1550,1259,786,413,404
8600000US90755,ZCTA5 90755,1,Total population,4172,null,1129,1289,671,563,295,114,111
8600000US90802,ZCTA5 90802,1,Total population,19853,null,9802,6021,1893,1055,582,250,250
8600000US90803,ZCTA5 90803,1,Total population,17318,null,7751,6448,1761,976,271,82,29
8600000US90804,ZCTA5 90804,1,Total population,14556,null,4000,4315,2407,1723,1092,513,506
8600000US90805,ZCTA5 90805,1,Total population,26056,null,4559,5097,4555,4346,3310,1892,2297
8600000US90806,ZCTA5 90806,1,Total population,12184,null,2276,2528,2075,2067,1457,833,948
8600000US90807,ZCTA5 90807,1,Total population,12452,null,3739,3863,2025,1593,688,309,235
8600000US90808,ZCTA5 90808,1,Total population,14167,null,2963,4648,2626,2435,1013,336,146
8600000US90810,ZCTA5 90810,1,Total population,9289,null,1324,1613,1438,1612,1387,798,1117
8600000US90813,ZCTA5 90813,1,Total population,16425,null,3323,3100,2610,2556,2151,1300,1385
8600000US90814,ZCTA5 90814,1,Total population,9170,null,3553,3256,1218,748,269,72,54
8600000US90815,ZCTA5 90815,1,Total population,14836,null,3743,5050,2501,2181,915,304,142
8600000US90822,ZCTA5 90822,1,Total population,2,null,0,0,1,0,0,1,0
8600000US91001,ZCTA5 91001,1,Total population,12663,null,2779,3923,2307,1915,861,449,429
8600000US91006,ZCTA5 91006,1,Total population,10652,null,1669,3098,2266,2087,905,397,230
8600000US91007,ZCTA5 91007,1,Total population,12033,null,2726,3472,2415,2063,823,322,212
8600000US91008,ZCTA5 91008,1,Total population,562,null,202,178,63,58,29,16,16
8600000US91010,ZCTA5 91010,1,Total population,7972,null,1741,2004,1293,1170,769,414,581
8600000US91011,ZCTA5 91011,1,Total population,6859,null,924,2165,1330,1548,635,195,62
8600000US91016,ZCTA5 91016,1,Total population,15029,null,3897,4461,2581,2182,1075,455,378
8600000US91020,ZCTA5 91020,1,Total population,3385,null,1088,895,601,578,148,47,28
8600000US91024,ZCTA5 91024,1,Total population,4837,null,1596,1691,717,537,209,55,32
8600000US91030,ZCTA5 91030,1,Total population,10466,null,3073,3186,1867,1646,487,140,67
8600000US91040,ZCTA5 91040,1,Total population,7359,null,1757,2186,1349,1179,522,201,165
8600000US91042,ZCTA5 91042,1,Total population,9987,null,2368,2912,1787,1669,748,289,214
8600000US91046,ZCTA5 91046,1,Total population,114,null,88,16,5,4,1,0,0
8600000US91101,ZCTA5 91101,1,Total population,10869,null,5504,3279,1047,588,246,103,102
8600000US91103,ZCTA5 91103,1,Total population,8492,null,2078,2189,1237,1170,800,449,569
8600000US91104,ZCTA5 91104,1,Total population,12922,null,3313,3650,2139,1988,931,423,478
8600000US91105,ZCTA5 91105,1,Total population,5213,null,1841,2085,672,411,147,36,21
8600000US91106,ZCTA5 91106,1,Total population,10723,null,3974,3688,1462,949,405,136,109
8600000US91107,ZCTA5 91107,1,Total population,13028,null,3653,4191,2199,1759,723,312,191
8600000US91108,ZCTA5 91108,1,Total population,4415,null,548,1383,863,1009,422,135,55
8600000US91201,ZCTA5 91201,1,Total population,8150,null,1746,2273,1594,1640,575,195,127
8600000US91202,ZCTA5 91202,1,Total population,8879,null,2258,2757,1647,1473,487,177,80
8600000US91203,ZCTA5 91203,1,Total population,5044,null,1302,1425,970,864,314,97,72
8600000US91204,ZCTA5 91204,1,Total population,5639,null,1399,1501,1043,981,425,172,118
8600000US91205,ZCTA5 91205,1,Total population,14089,null,3751,3813,2491,2403,1017,381,233
8600000US91206,ZCTA5 91206,1,Total population,13261,null,3673,4133,2409,2054,677,219,96
8600000US91207,ZCTA5 91207,1,Total population,4097,null,978,1369,711,707,237,60,35
8600000US91208,ZCTA5 91208,1,Total population,6106,null,1331,1946,1155,1113,378,128,55
8600000US91210,ZCTA5 91210,1,Total population,178,null,68,84,15,9,1,1,0
8600000US91214,ZCTA5 91214,1,Total population,10551,null,1891,2911,2144,2445,794,253,113
8600000US91301,ZCTA5 91301,1,Total population,9208,null,1733,2904,1830,1782,681,193,85
8600000US91302,ZCTA5 91302,1,Total population,9303,null,1623,3069,1831,1792,748,170,70
8600000US91303,ZCTA5 91303,1,Total population,8697,null,2120,2060,1417,1336,814,442,508
8600000US91304,ZCTA5 91304,1,Total population,16532,null,3267,4495,3036,2909,1514,713,598
8600000US91306,ZCTA5 91306,1,Total population,13635,null,2314,3368,2482,2451,1486,712,822
8600000US91307,ZCTA5 91307,1,Total population,8315,null,1289,2622,1692,1654,693,231,134
8600000US91311,ZCTA5 91311,1,Total population,13425,null,3026,4453,2456,1967,950,341,232
8600000US91316,ZCTA5 91316,1,Total population,11911,null,3929,4080,1893,1287,525,126,71
8600000US91320,ZCTA5 91320,1,Total population,15076,null,2417,4643,2901,3110,1254,453,298
8600000US91321,ZCTA5 91321,1,Total population,11215,null,2729,2891,1648,1703,1037,577,630
8600000US91324,ZCTA5 91324,1,Total population,9289,null,1997,2719,1558,1440,778,382,415
8600000US91325,ZCTA5 91325,1,Total population,11825,null,2956,3530,2027,1811,866,349,286
8600000US91326,ZCTA5 91326,1,Total population,11770,null,1905,3800,2349,2261,947,349,159
8600000US91330,ZCTA5 91330,1,Total population,2,null,0,1,1,0,0,0,0
8600000US91331,ZCTA5 91331,1,Total population,22465,null,2196,3170,3081,3823,3459,2269,4467
8600000US91335,ZCTA5 91335,1,Total population,22855,null,4791,5433,3984,3741,2235,1215,1456
8600000US91340,ZCTA5 91340,1,Total population,8176,null,925,1350,1284,1495,1215,745,1162
8600000US91342,ZCTA5 91342,1,Total population,23543,null,3071,4850,3852,4185,3148,1840,2597
8600000US91343,ZCTA5 91343,1,Total population,16802,null,2385,3691,2945,3135,2138,1176,1332
8600000US91344,ZCTA5 91344,1,Total population,16872,null,2830,4822,3269,3169,1629,605,548
8600000US91345,ZCTA5 91345,1,Total population,5192,null,899,1218,833,853,577,329,483
8600000US91350,ZCTA5 91350,1,Total population,10991,null,1722,3011,2231,2410,1023,405,189
8600000US91351,ZCTA5 91351,1,Total population,10036,null,1597,2613,1888,1927,1041,484,486
8600000US91352,ZCTA5 91352,1,Total population,11985,null,1598,2242,1881,2122,1615,1002,1525
8600000US91354,ZCTA5 91354,1,Total population,9522,null,1453,2511,1938,2281,936,288,115
8600000US91355,ZCTA5 91355,1,Total population,12772,null,3285,4217,2239,1989,712,229,101
8600000US91356,ZCTA5 91356,1,Total population,11686,null,3312,3693,1942,1624,731,274,110
8600000US91360,ZCTA5 91360,1,Total population,14823,null,3427,4705,2491,2324,1030,432,414
8600000US91361,ZCTA5 91361,1,Total population,8374,null,2026,3277,1373,1118,417,115,48
8600000US91362,ZCTA5 91362,1,Total population,13563,null,2940,4607,2373,2297,911,306,129
8600000US91364,ZCTA5 91364,1,Total population,10409,null,2662,3615,1816,1603,491,157,65
8600000US91367,ZCTA5 91367,1,Total population,16697,null,5065,5602,2840,2070,732,254,134
8600000US91377,ZCTA5 91377,1,Total population,5158,null,1046,1575,1106,1002,325,77,27
8600000US91381,ZCTA5 91381,1,Total population,6636,null,1035,1727,1250,1617,708,218,81
8600000US91384,ZCTA5 91384,1,Total population,6925,null,833,1676,1340,1689,825,363,199
8600000US91387,ZCTA5 91387,1,Total population,12871,null,1953,3411,2525,2654,1362,578,388
8600000US91390,ZCTA5 91390,1,Total population,6369,null,876,1797,1213,1476,668,222,117
8600000US91401,ZCTA5 91401,1,Total population,14380,null,3841,4077,2423,2110,1092,482,355
8600000US91402,ZCTA5 91402,1,Total population,18194,null,2546,3086,2996,3443,2722,1569,1832
8600000US91403,ZCTA5 91403,1,Total population,11358,null,4255,4050,1652,1008,290,77,26
8600000US91405,ZCTA5 91405,1,Total population,16256,null,3683,3653,2863,2667,1731,869,790
8600000US91406,ZCTA5 91406,1,Total population,17042,null,3806,4339,2995,2794,1589,740,779
8600000US91411,ZCTA5 91411,1,Total population,9177,null,2816,2479,1474,1208,652,278,270
8600000US91423,ZCTA5 91423,1,Total population,14876,null,5629,5183,2102,1468,351,91,52
8600000US91436,ZCTA5 91436,1,Total population,5552,null,1177,2056,909,945,336,101,28
8600000US91501,ZCTA5 91501,1,Total population,8235,null,2231,2477,1480,1357,474,139,77
8600000US91502,ZCTA5 91502,1,Total population,5001,null,1903,1427,702,608,232,87,42
8600000US91504,ZCTA5 91504,1,Total population,9180,null,2165,2798,1627,1558,656,239,137
8600000US91505,ZCTA5 91505,1,Total population,13180,null,4471,4073,1980,1664,644,205,143
8600000US91506,ZCTA5 91506,1,Total population,7555,null,2312,2259,1284,1065,409,139,87
8600000US91601,ZCTA5 91601,1,Total population,15970,null,5745,5028,2214,1563,790,345,285
8600000US91602,ZCTA5 91602,1,Total population,9277,null,4091,3289,1128,557,140,45,27
8600000US91604,ZCTA5 91604,1,Total population,14292,null,5686,5018,1903,1243,343,73,26
8600000US91605,ZCTA5 91605,1,Total population,15357,null,2466,3032,2554,2796,2028,1127,1354
8600000US91606,ZCTA5 91606,1,Total population,14903,null,3573,3709,2397,2419,1466,675,664
8600000US91607,ZCTA5 91607,1,Total population,12859,null,4910,4253,1766,1206,456,161,107
8600000US91701,ZCTA5 91701,1,Total population,12997,null,2167,3736,2500,2577,1217,512,288
8600000US91702,ZCTA5 91702,1,Total population,15455,null,2431,3271,2516,2596,1896,1134,1611
8600000US91706,ZCTA5 91706,1,Total population,17504,null,1518,2583,2804,3350,2761,1773,2715
8600000US91708,ZCTA5 91708,1,Total population,342,null,24,67,63,91,47,29,21
8600000US91709,ZCTA5 91709,1,Total population,22940,null,2713,5626,4727,5604,2640,1033,597
8600000US91710,ZCTA5 91710,1,Total population,21952,null,3007,5159,4030,4389,2729,1310,1328
8600000US91711,ZCTA5 91711,1,Total population,11868,null,2971,3972,1956,1736,792,296,145
8600000US91722,ZCTA5 91722,1,Total population,10079,null,1563,2277,1919,1885,1163,612,660
8600000US91723,ZCTA5 91723,1,Total population,6296,null,1445,1727,1102,1065,543,240,174
8600000US91724,ZCTA5 91724,1,Total population,8508,null,1467,2393,1556,1582,870,369,271
8600000US91730,ZCTA5 91730,1,Total population,22811,null,5313,6472,4253,3544,1881,747,601
8600000US91731,ZCTA5 91731,1,Total population,8007,null,1317,1681,1227,1343,1013,573,853
8600000US91732,ZCTA5 91732,1,Total population,14700,null,1442,2391,2442,2793,2331,1367,1934
8600000US91733,ZCTA5 91733,1,Total population,9918,null,765,1400,1551,1964,1652,1061,1525
8600000US91737,ZCTA5 91737,1,Total population,8095,null,1165,2323,1652,1643,804,316,192
8600000US91739,ZCTA5 91739,1,Total population,10526,null,1314,2582,2016,2366,1329,566,353
8600000US91740,ZCTA5 91740,1,Total population,8376,null,1600,2373,1580,1523,748,329,223
8600000US91741,ZCTA5 91741,1,Total population,9126,null,1708,2906,1660,1658,779,266,149
8600000US91744,ZCTA5 91744,1,Total population,18648,null,1601,2722,2764,3229,2902,1922,3508
8600000US91745,ZCTA5 91745,1,Total population,16188,null,2110,4409,3129,2953,1741,937,909
8600000US91746,ZCTA5 91746,1,Total population,6743,null,655,1030,1009,1143,975,637,1294
8600000US91748,ZCTA5 91748,1,Total population,13311,null,1406,3406,2899,2664,1453,735,748
8600000US91750,ZCTA5 91750,1,Total population,11944,null,2641,3901,2061,1910,891,330,210
8600000US91752,ZCTA5 91752,1,Total population,8417,null,1482,1867,1260,1339,1040,626,803
8600000US91754,ZCTA5 91754,1,Total population,11193,null,2172,3237,2242,1820,965,421,336
8600000US91755,ZCTA5 91755,1,Total population,8760,null,1468,2333,1824,1570,773,404,388
8600000US91759,ZCTA5 91759,1,Total population,216,null,71,83,30,18,10,2,2
8600000US91761,ZCTA5 91761,1,Total population,15368,null,1931,3260,2709,2835,2119,1194,1320
8600000US91762,ZCTA5 91762,1,Total population,15845,null,2713,3424,2548,2778,2016,1062,1304
8600000US91763,ZCTA5 91763,1,Total population,9450,null,1226,1835,1553,1724,1385,752,975
8600000US91764,ZCTA5 91764,1,Total population,14449,null,2186,3024,2380,2365,1855,1068,1571
8600000US91765,ZCTA5 91765,1,Total population,15039,null,2006,4221,3260,3217,1382,607,346
8600000US91766,ZCTA5 91766,1,Total population,17708,null,2056,3224,2832,3163,2587,1525,2321
8600000US91767,ZCTA5 91767,1,Total population,13691,null,2700,2898,2092,2174,1625,979,1223
8600000US91768,ZCTA5 91768,1,Total population,7885,null,1091,1533,1234,1346,1082,657,942
8600000US91770,ZCTA5 91770,1,Total population,16588,null,2063,3336,3173,3128,2126,1261,1501
8600000US91773,ZCTA5 91773,1,Total population,11941,null,2659,3777,2167,1889,865,349,235
8600000US91775,ZCTA5 91775,1,Total population,8227,null,1575,2373,1625,1512,660,288,194
8600000US91776,ZCTA5 91776,1,Total population,11776,null,1924,2912,2461,2040,1119,666,654
8600000US91780,ZCTA5 91780,1,Total population,11318,null,1963,3033,2420,2080,990,473,359
8600000US91784,ZCTA5 91784,1,Total population,8934,null,1226,3197,1728,1577,750,279,177
8600000US91786,ZCTA5 91786,1,Total population,18087,null,4108,5377,3258,2770,1527,619,428
